Datum;Dan u tj.;Doručak;Kalorije (kcal);Ručak;Kalorije (kcal).1;Večera;Kalorije (kcal).2;Ukupno;Potrošio;Aktivnost;Kcal Potrošeno;Kg;;;;;
14.vlj;PET;Sendvič (pil, prot sir) + sendvič (pašteta) + kuglice;800;Juha (rajčica) + 6x lepinjica + ketchup;475;2x Sendvič (sirić);520;1795;2000;;;;;;;;
15.vlj;SUB;Sendvič (sirić, salama);450;B. meso + pire s mrkvom i graškom;550;Tortilla + 4.5 komada pizze (Domo);1110;2110;2000;;;;;;;;
16.vlj;NED;2x Sendvič (čajna, proteinski sir);500;Juha+ b. meso + riža;405;Kuglice + 2x Sendvič (čajna, prot sir);760;1665;2000;;;;;;;;
17.vlj;PON;2x Sendvič (čajna, sirić);640;B. meso u rajčica sosu + pecivo;600;2x Faširanca + ketchup + 5x kiflice;670;1910;2000;;;;;;;;
18.vlj;UTO;Sendvič (salama, sirić) + 2x kiflice;550;Sendvič na kruhu (salama, sirić) + 5x kiflice;715;2x Faširanca + vrhnje + kuglice;660;1925;2000;;;;;;;;
19.vlj;SRI;3x Sendvič (čajna, sirić);885;Jaja + salama;620;Sendvič (čajna, sirić) + 1/2 jabuka;345;1850;2000;;;;;;;;
20.vlj;ČET;2x Sendvič (čajna, vrhnje);570;Sendvič (b. meso, vrhnje, ketchup);740;Kuglice + 2x Sendvič (čajna, posni sir;440;1750;2000;;;;;;;;
21.vlj;PET;Sendvič (čajna, posni sir) + sendvič (salama, p. sir);580;Sendvič (salama, posni sir) + kuglice;600;2x Sendvič (sal, p. sir, kromp,ketch);1050;2230;2000;;;;;;;;
22.vlj;SUB;2x sendvič (salama, posni sir);760;Juha+ batkovi i riža;555;3.5x komada pizze;700;2015;2200;;;;;;;;
23.vlj;NED;2x sendvič (salama, posni sir);760;gulaš + 2x šnite kruha;455;3x palačinke s ketchupom + banana;670;1885;2000;;;;;;;;
24.vlj;PON;Sendvič (salama, p. sir) + 3x kruh (sal, p. sir ketch);1205;Mahune + meso + riža;275;1.5x Sendvič (pašteta);500;1980;2000;;;;;;;;
25.vlj;UTO;3x domaće pevico (salama, posni sir);1380;B. meso sa salatom;540;Sendvič (pašteta);330;2250;2000;;;;;;;;
26.vlj;SRI;Sendvič (posni sir) + topli sendvič (posni sir);760;B. meso sa krumpirom;460;Pohani kruh + vrhnje;660;1880;2000;;;;;;;;
27.vlj;ČET;Sendvič (salama, p. sir);380;Kajgano sa salamom + pecivo;720;2x Send (p. sir, sal, ketch) + Send (pašt);1095;2195;2000;;;;;;;;
28.vlj;PET;Sendvič (sal, p. sir) +2x sendvič (sal, p. sir, ketchup);1180;2x pakiranja hrenovki + pecivo + ketchup;600;Sendvič (pašteta);260;2040;2000;;;;;;;;
29.vlj;SUB;Sendvič (sal, p. sir) +2x sendvič (pašteta) + lepinjica;995;2x Ćufte + 2x kruha;510;2x Ćufte + 2x kruha + Sendvič (pašteta);770;2275;2000;;;;;;;;
1.ožu;NED;2x Sendvič (ćufta, p. sir);660;Zabatci + pire + juha;330;2x send (sal, p. sir, ketch) + kruh (pašt);1110;2100;2000;;;;;;;;
2.ožu;PON;3x šnite kruha (salama, p. sir);800;Zabatci + riža;415;2x domaći sendvič (salama, p. sir);900;2115;2000;;;;;;;;
3.ožu;UTO;2x domaći sendvič (salama, p. sir);900;2x domaći sendvič (salama, p. sir);900;Burek;700;2500;2000;;;;;;;;
4.ožu;SRI;2x sendvič (salama, p. sir, ketchup);810;/;0;Kajgano + salama + pecivo;760;1570;2000;;;;;;;;
5.ožu;ČET;2x sendvič (salama, p. sir, ketchup);810;Sendvič (salama, p. sir);660;Grah + 3 šnite kruha;750;2220;2000;;;;;;;;
6.ožu;PET;2x sendvič (salama, pašteta);810;/;0;3x topla sendviča;1350;2160;2000;;;;;;;;
7.ožu;SUB;3x topla sendviča;1350;Varivo + 2x šnicle od kruha;420;6x kiflice;690;2460;2000;;;;;;;;
8.ožu;NED;5x kiflice;575;3x tortille;1485;2x kiflice + sendvič (pašteta);490;2550;2000;;;;;;;;
9.ožu;PON;2x tortille + kuglice + sendvič (pašteta);1450;8x mini fašrianca + vrhnje + juha;515;2x sendvič (faš. p. sir, ketch, sir);800;2765;2000;;;;;;;;
10.ožu;UTO;2x sendvič (faš. p. sir, ketch, sir) + 2x send + kuglice;1400;Grašak + kajgano;510;2x sendvič (salama, p. sir);760;2670;2000;;;;;;;;
11.ožu;SRI;3x običan sendvič + kuglice;1400;Batkovi + riža;615;5x kiflica;625;2640;2000;;;;;;;;
12.ožu;ČET;3x sendvič (šunkarica, p. sir) + 2x kiflice + kuglice;1210;Kiflica + kajgano (salama + pecivo);895;3x kiflice + kuglice;585;2690;2000;;;;;;;;
13.ožu;PET;1x običan sendvič + 2x sendvič (pašteta) + kuhlice;1150;Domaći burek;700;2x Sendvič (pašteta);520;2370;2000;;;;;;;;
14.ožu;SUB;2x sendvič (salama, p. sir, maldi luk) + kuglice;1080;Puretina + sos + juha;775;2x send (sal, p. sir, m. luk) + 3x pizza;1380;3235;2000;;;;;;;;
15.ožu;NED;2x sendvic (salama, p. sir, maldi luk);780;B. meso + pire + juha + kuglice;975;2x sendvic (salama, p. sir, maldi luk);780;2535;2000;;;;;;;;
16.ožu;PON;3x sendvic (salama, p. sir, maldi luk) + kuglice;1370;Špageti (1x porcija);725;2x sendvic (salama, p. sir, maldi luk);780;2875;2000;;;;;;;;
17.ožu;UTO;2x sendvic (salama, p. sir, kecthup) + kuglice;1050;Kajgano + juha (s tjesteninom);900;2x sendvic (salama, p. sir, kecthup);800;2750;2000;;;;;;;;
18.ožu;SRI;2s toplit sendvič + 1x običan sendvič;1200;B. meso na kockice + vrhnje + 2x kruha;640;2x običan sendvič +sendvič (pašteta);1060;2900;2000;;;;;;;;
19.ožu;ČET;2x domaći sendvič (pašteta);500;2x kobasice + vrhnje + pecivo + lepinjica;950;2x domaći sendvič (pašteta);500;1950;2000;;;;;;;;
20.ožu;PET;2x domaći sendvič (pašteta) + banana;600;B. meso + grašak + 8x kroketa + juha;830;3x š. kruha (p. sir, sal, ketch) + banana;1100;2530;2000;;;;;;;;
21.ožu;SUB;2x domaći sendvič (p. sir, salama);800;Pizza;1350;2x domaći sendvič (p. sir, salama);780;2930;2000;;;;;;;;
22.ožu;NED;2x sendvič (prot. Sir, salama);800;Juha + hrenovke + krumpir;400;1x Sendvič + 3x topla sendviča;1590;2790;2000;;;;;;;;
23.ožu;PON;2x sendvič (prot. Sir, salama) + 1x sendvič;1220;Faširanci + vrhnje;500;1x Sendvič + 2x Sendvič (p. sir, salama);1220;2940;2000;;;;;;;;
24.ožu;UTO;2x sendvič (prot. Sir, salama);800;Paprikaš + domaći kviki gric;1410;2X Sendvič (prot. sir, salama);780;2990;2000;;;;;;;;
25.ožu;SRI;2x sendvič (prot. Sir, salama);800;1/2 Burek + jogurt;510;2x sendvič (prot. Sir, salama);1165;2475;2000;;;;;;;;
26.ožu;ČET;2x sendvič (prot. Sir, salama, ketchup);850;Kobasica + pire + pecivo + sendvič;895;3x sendvič (prot. Sir, salama, ketchup);1275;3020;2000;;;;;;;;
27.ožu;PET;2x sendvič (posni sir, salama, mladi luk);770;4x Pohana puretina + riža + 2x lepinjica;815;3x sendvič (posni sir, salama, mladi luk);1155;2740;2000;;;;;;;;
28.ožu;SUB;2x sendvič (posni sir, salama, mladi luk) + kuglice;990;2x Faširanci + vrhnje + 2x kruh;660;2x sendvič (posni sir, faširanac, mladi luk);820;2470;2000;;;;;;;;
29.ožu;NED;2x sendvič (p. sir, sal,luk) 1x šnita kruha (pašteta);1000;Juha + piletina + krumpir + kuglice;900;4x šnite kruha (posni sir, sal, m. luk);1300;3200;2000;;;;;;;;
30.ožu;PON;3x šnite kruha (posni sir, salama) + kuglice;1190;3x komada strombola;900;2x komada strombola;600;2690;2000;;;;;;;;
31.ožu;UTO;2x sendvič (salama, posni sir, ketchup);800;B. meso sa salatom;560;2x sendvič (salama, posni sir);760;2120;2000;;;;;;;;
1.tra;SRI;3x sendvič (salama, posni sir, ketchup);1200;1.5x Špageti;990;0.5x Špageti + Sendvič (p.sir, sal, ketch);730;2920;2000;;;;;;;;
2.tra;ČET;2x sendvič (šunka, p.sir, ketchup) + jogurt;770;3x Pohano b. meso + riža + juha + jogurt;860;2x sendvič (pileća prsa, p.sir, maldi luk);600;2230;2000;;;;;;;;
3.tra;PET;3x sendvič (šunka, p.sir, maldi luk) + jogurt;1080;2x sendvič (faširanac, sir, ketch, sos);800;2x sendvič (salama, p.sir, maldi luk);990;2870;2000;;;;;;;;
4.tra;SUB;2x sendvič (salama, p.sir, maldi luk) + kuglice;1020;2x tanjura graha + 2x peciva;800;2x sendvič (salama, p.sir, maldi luk) ;990;2810;2000;;;;;;;;
5.tra;NED;2x sendvič (salama, p.sir, maldi luk) + kuglice;1020;2x tanjura graha + 2x peciva;800;2x sendvič (salama, p.sir, maldi luk) ;990;2810;2000;;;;;;;;
6.tra;PON;2x sendvič (salama, p.sir, maldi luk) ;770;Juha + pureća prsa + pire;855;2x sendvič (salama, p.sir, maldi luk) ;770;2395;2000;;;;;;;;
7.tra;UTO;2x sendvič (salama, p.sir, maldi luk) + sendvič;1175;hrenovke + vrhnje + kruh;820;2x šnite kruha (salama, p.sir, ketchup);820;2815;2000;;;;;;;;
8.tra;SRI;1.5x šnita kruha (salama, p.sir, ketchup) + sendvič;1300;2.5x faširanci + varivo;640;2x sendvič (salama, p.sir, mladi luk);770;2710;2000;;;;;;;;
9.tra;ČET;11x mini lisnato sa salamom;1100;1x komad bureka sa sirom + jogurt + jogurt;855;2x sendvič (salama, p.sir, mladi luk);770;2725;2000;;;;;;;;
10.tra;PET;2x sendvič (salama, p.sir, mladi luk) + jogurt;970;grah + 2x šnite kruha + juha + jogurt;900;2x sendvič (salama, p.sir, m.luk) + grah;1160;3030;2000;;;;;;;;
11.tra;SUB;Pohani kruh + salama + vrhnje + mladi luk + jogurt;1095;Palačinke s mesom i grahom + jogurt;990;Palač. s mesom i grahom + poh.kruh;1000;3085;2000;;;;;;;;
12.tra;NED;šnita kruha (šunka, p.sir, maldi luk) + jogurt;570;Pileća prsa u rerni + pire + jogurt;900;3x šnite kruha (sal, p.sir, m.luk) + bana.;1225;2695;2000;;;;;;;;
13.tra;PON;2x šnita kruha (salama, p.sir) + topli sendvič;1110;Piletina/svinjetina špageti;1090;3x komada strombola + banana;710;2910;2000;;;;;;;;
14.tra;UTO;6x komada strombola;1200;Varivo + 2x šnite kruha + 2x komada stromb.;850;2x kifle (pašteta pikant);550;2600;2000;;;;;;;;
15.tra;SRI;2x kifle (pašteta jetrena + pikant);505;B. meso u soja sosu + sir + pola kiflice;605;3x šnite kruha (pašteta);455;1565;2000;;;;;;;;
16.tra;ČET;2x šnite kruha (pašteta, salama);700;Pileći burek + jogurt;870;2x pereca (pašteta);500;2070;2000;;;;;;;;
17.tra;PET;2x sendvič (pašteta) + jogurt;670;2.5x kobasica + 2x peciva + vrhnje;960;jogurt + 4x kiflice;770;2400;2000;;;;;;;;
18.tra;SUB;2x kifle (pašteta);560;1x tanjur krompir tijesta;600;3x kifle (pašteta) + jogurt;1010;2170;2000;;;;;;;;
19.tra;NED;2x peciva (pašteta, maldi luk);740;to;1110;2x sendvič (pašteta, salama);660;2510;2000;;;;;;;;
20.tra;PON;2x sendvič (šunkarica, pašteta);760;Pizza;1350;2x sendvič (pašteta);520;2630;2000;;;;;;;;
21.tra;UTO;3x šnite kruha (salama, p.sir);780;2x sendvič (faširanac, vrhnje, slatko-ljuti);780;2x faširanca + vrhnje + 3x šnite kruha;660;2220;2000;;;;;;;;
22.tra;SRI;2x trokut pizza + jogurt;650;kuglice + kajgano (salama) + pecivo;810;kuglice + sendvič (salama, p.sir) + jog.;1160;2620;2000;;;;;;;;
23.tra;ČET;2x sendvič (salama, p.sir, m.luk);780;kuglice + puretina + vrhnje + pecivo + jogurt;1045;2x sendvič (salama, p.sir, m.luk);780;2605;2000;;;;;;;;
24.tra;PET;2x sendvič (salama, p.sir, m.luk) + jogurt;950;3x lisnato sa salamom;750;2x sendvič (salama, p.sir, m.luk);780;2480;2000;;;;;;;;
25.tra;SUB;2x sendvič (salama, p.sir, m.luk);780;2x šnicle od kruha + ketchup + 2x kuglice;1015;3x šnite kruha (salama, p.sir, m.luk);950;2745;2000;;;;;;;;
26.tra;NED;2.5x topli sendvič;900;batak + riža + juha;520;3x šnite kruha (salama, p.sir, m.luk);750;2170;2000;;;;;;;;
27.tra;PON;2x domaća peciva (pašteta) + 3x kolutića;680;2x porcija Špageta;960;1x kolutić + 2x sendvića + 0.5x špageti;910;2550;2000;;;;;;;;
28.tra;UTO;2x sendvič (pašteta);500;2x tanjura graha + 3x šnite kruha;800;2x sendvič (pašteta) + 2x nešto od kora;600;1900;2000;;;;;;;;
29.tra;SRI;9x zamotuljak s grahom;945;B. meso na kockice + pire;750;2 sendviča (pašteta);650;2345;2000;;;;;;;;
30.tra;ČET;6x domaćih štapiča;750;Kajgano sa salamom + pecivo + juha;890;1x kobasica + 2x šnite kruha + vrhnje;730;2370;2000;;;;;;;;
1.svi;PET;2x sendvič (salama, p.sir);760;10x čevapa + 1x ražnijć + lepinja;1450;6x čevapa + lepinja + vrhnje;665;2875;2000;;;;;;;;
2.svi;SUB;lepinja topli sendvič (salama. margo);800;Puretina + piletina + kruh s m.luk + juha;655;2x topli sendvič (sir) + 2x min jabuka;615;2070;2000;;;;;;;;
3.svi;NED;2x topli sendvič (sir) + 2.5 slonovo uho;650;2,5x pohano b. meso + riža +pohani sir + juha;790;5x s. uho (sir) + 4x s. uho (sir);1055;2495;2000;;;;;;;;
4.svi;PON;2x sendvič (malo salame, malo marga, sir);690;B. meso + 6x kuglica od riže + mini jabuka;880;3x sendvič (margo, salama);1080;2650;2000;;;;;;;;
5.svi;UTO;5x pužića od ajvara + 5x pužića od ajvara;1200;Kajgano sa salamom + pecivo;760;2x topli sendvič (salama, margo);690;2650;2000;;;;;;;;
6.svi;SRI;3x kifle (salama);900;1,75x porcija Paštašute;875;3x kifle (pašteta) + jogurt;750;2525;2000;;;;;;;;
7.svi;ČET;3x kifle (pašteta) + jogurt + 2x manja kifla;935;Burek (sir) + jogurt;775;1x m. kifla + 3x m. kifla (pašteta);650;2360;2000;;;;;;;;
8.svi;PET;3x peciva (pašteta);700;Batkovi + krumpir + 1x pecivo + jogurt;770;2x velik sendvič (salama, margo, sir);1400;2870;2000;;;;;;;;
9.svi;SUB;2x sendvič (salama, margo, sir) + kuglice;910;Pizza;1350;1x sendvič (salama, margo, sir);400;2660;2000;;;;;;;;
10.svi;NED;3x kifle (pašteta, mladi luk) + 2x kifla;905;1.5 pureća štruca + 1.75x kifla;910;2x kifle (salama, margo, sir + kuglice;910;2725;2000;;;;;;;;
11.svi;PON;2x sendvič (salama, margo, sir) + kuglice ;910;1.5x krompir tijesta;900;2x sendvič (salama, margo, sir) + kuglice ;970;2780;2000;;;;;;;;
12.svi;UTO;2x sendvič (čajna, margo, sir);670;3x tortille;1485;1x tortilla;525;2680;2000;;;;;;;;
13.svi;SRI;3x kifle (pašteta + 2x kifle;895;kuglice + kobasica + grašak + 1.5x kifla;900;2x sendvič (čajna, sirić, ketchup) + 2x kifla;1000;2795;2000;;;;;;;;
14.svi;ČET;2x sendvič (čajna, sirić, ketchup) + kuglice;800;Batkovi + riža;460;10x čevapa + 2x peciva;1205;2465;2000;;;;;;;;
15.svi;PET;2x topli sendvič (salama, margo) + 1x send. (pašt.);1000;10x čevapa + pire;980;2x sendvič (pašteta);530;2510;2000;;;;;;;;
16.svi;SUB;3x sendvič (pašteta);795;Hamburger + 1/2x pomfit;1065;1x pohano pecivo (vrhnje) + sendvič (pašt);765;2625;2000;;;;;;;;
17.svi;NED;3x kifle (pašteta) 1,5x kifla;985;Batkovi + ketchup + 2x šnite kruha;530;3x kifle (pašteta) + 1x kifla (pašteta);930;2445;2000;;;;;;;;
18.svi;PON;2x topli sendvič (salama, margo);700;Batkovi + ketchup + 1x šnite kruha;530;1.5 kruh? (pašteta) + 2x kruha (sal, margo);1170;2400;2000;;;;;;;;
19.svi;UTO;3x sendvič (salama, margo, sir);1230;1.5x burek;1125;2x sendvič (salama, margo);700;3055;2000;;;;;;;;
20.svi;SRI;2x sendvič (salama, margo) + 2x topli sendvič;1200;0,5x kobasica + 4x šnite tosta + juha;495;3x topla sendviča (margo, salama);750;2445;2000;;;;;;;;
21.svi;ČET;3x topla sendviča (margo, salama);750;Batkovi na kockice + mahune + 2x šnite kruha;765;2x sendvič (margo, salama);700;2215;2000;;;;;;;;
22.svi;PET;1x š. kruha+ 2x sendvič + 4x š. kruha;1515;malo čipsa + 2x kobasice + pire;950;2x sendvič (pašteta);535;3000;2000;;;;;;;;
23.svi;SUB;2x tost (pašteta) + 3x topli sendvič + 1x sendvič;1330;5x komada b. meso + riža;690;1x sendvič (pašteta) + 2x sendvič (sal, sirić);870;2890;2000;;;;;;;;
24.svi;NED;2x sendvič (salama, sirić) + 2x š. mozzarela kruha;1300;B. meso + zelena tjestenina;810;2x sendvič (salama, sirić);620;2730;2000;;;;;;;;
25.svi;PON;2x topli sendvič (salama, margo);640;0,5x burek (sir) + pola čaše jogurta;440;5x sendvič (salama, sirić) + jogurt;1615;2695;2000;;;;;;;;
26.svi;UTO;3x sendvič (salama, sirić) + jogurt;1135;2x tanjura graha + 4x šnite kruha;800;2x sendvič (salama, sirić) + jogurt;670;2605;2000;;;;;;;;
27.svi;SRI;3x topli sendvič +2x sendvič;1270;4x tortille;1800;/;0;3070;2000;;;;;;;;
28.svi;ČET;2x sendvič (salama, sirič) + 1x sendvič + 1x pecivo;1480;2x komada pileća prsa + 4x šnite kruha;1110;/;0;2590;2000;;;;;;;;
29.svi;PET;2,5x peciva (pašteta);785;Salata s b. mesom + 3x š. kruha (pašteta);960;2x sendvič (pašt) + 1x sendvič (salama, sirić);835;2580;2000;;;;;;;;
30.svi;SUB;2x kifle (salama, sirić) + 2x kifla;1050;2x kuglice + par krumpirića + sos;230;2x sendviča + 3x ražnjića + 2x čevap +2x kruh;1655;2935;2000;;;;;;;;
31.svi;NED;3x šnite kruha (salama, sirić);585;1x tanjur gulaša;615;5x š. kruha (salama, margo) + malo smokija;1670;2870;2000;;;;;;;;
1.lip;PON;1x š. kruha (salama, margo) + 4x š. kruha;1450;1x tanjur gulaša;615;3x šnite kruha (pašteta);535;2600;2000;;;;;;;;
2.lip;UTO;1x šnita kruha (pašteta) + 2x topli sendvič ;1000;3x komada pileća prsa + 9x kroketa;1200;2x sendvič (pašteta);580;2780;2000;;;;;;;;
3.lip;SRI;1x sendvič (pašteta) + 2x topli sendvič+ 1x sendvič;1335;4x komada bureka;800;2x sendvič (salama, margo) + 1x komad bureka;760;2895;2000;;;;;;;;
4.lip;ČET;3x topla sendviča;1125;Pola kobasice + malo mahuna + 2x šnite kruha;380;2x sendvič + 4x šnite kruha + party mix (60g);1765;3270;2000;;;;;;;;
5.lip;PET;2x topla sendviča +2x sendvič;1500;3x pohane palačinke;1425;2x pohane palačinke;750;3675;2000;;;;;;;;
6.lip;SUB;2x sendvič (pašteta) + 2x sendviča;1525;2x hamburgera + pomfrit;1810;2x sendvič (pileća prsa, margo, m. luk);720;4055;2000;;;;;;;;
7.lip;NED;2x sendvič (pileća prse, margo, sir, m. luk);550;2.5x komada pilećih prsa + pomfrit;1125;2x sendvič + 2x sendvič;1160;2835;2000;;;;;;;;
8.lip;PON;2x sendvič (sal, sirić, m. luk, ketch) 2x topli sendvič;1220;1.5x tanjur krompir-tijesta;840;3x sendvič (čajna, sirić, ketchup);930;2990;2000;;;;;;;;
9.lip;UTO;3x sendvič (čajna, sirić, ketchup);950;1.5x tanjur krompir-tijesta + kuglice;1090;2x sendvič (čajna, sirić, ketchup);640;2680;2000;;;;;;;;
10.lip;SRI;3x sendvič (čajna, sirić, ketchup) + kuglice;1200;Pizza;1350;2x sendvič (čajna, sirić, ketchup);640;3190;2000;;;;;;;;
11.lip;ČET;2x sendvič (čajna, sirić, ketchup + kuglice + jogurt;1190;3x ćufte + 3x šnite kruha;765;pomfrit + 2x sendvič (čajna, sirić, ketchup);1055;3010;2000;;;;;;;;
12.lip;PET;2x topli sendvič (salama, margo) + jogurt;890;3x ćufte + 3x šnite kruha + pire;920;2x sendvič (čajna, sirić, ketchup);620;2430;2000;;;;;;;;
13.lip;SUB;2x sendvič (salama, sirić, ketchup);620;B. meso + pomfrit;1115;kuglice + 2x sendvič + 1x sendvič;1055;2790;2000;;;;;;;;
14.lip;NED;2x sendvič (pašteta);505;Gulaš s tjesteninom+ party mix (70g);880;2x sendvič + pomfirt + ketchup;1450;2835;2000;;;;;;;;
15.lip;PON;komad peciva (pašteta) + 2x topli sendvič;840;sendvič + gulaš + sendvič iz pećnice;1420;sendvič iz pećnice + 2x sendvič;1170;3430;2000;;;;;;;;
16.lip;UTO;komad peciva + 2x sendvič + sok od jabuke (100%);960;kobasica + 1.5x porcija graha + 1.5x pecivo;925;3x sendvič (salama, sirić, ketchup);930;2815;2000;;;;;;;;
17.lip;SRI;2x sendvič (salama, sirić, ketchup) +2x topla send.;1330;Burek (sir);700;2x sendvič (salama, sirić, ketchup) +1x send.;1070;3100;2000;;;;;;;;
18.lip;ČET;2x topli sendvič + 2x tost (salama, sirić, ketchup);1240;Juha + b. meso + riža;865;2x sendvič + 1x sendvič + ribice (70g);1270;3375;2000;;;;;;;;
19.lip;PET;2x topli sendvič (salama, margo, sir);710;1,5x tanjura špageta + sok od jabuke (100%);1220;2x tanjura šageta + sok od jabuke (100%);1550;3480;2000;;;;;;;;
20.lip;SUB;2x topli sendvič (salama, margo, sir);750;1x sendvič (salama, sirić);260;2x tanjura paprikaša + kobasica + sir + kruh;2220;3230;2000;;;;;;;;
21.lip;NED;Kobasica + sir + 3x šnite kruha;990;Čufte + krumpir;1170;Kobasica + sir + 3x šnite kruha;880;3040;2000;;;;;;;;
22.lip;PON;Pohani kruh (salama, sir);900;2x Burgera s ćuftama;1080;Kobasica + sir + 3x šnite kruha + sok od jab.;1110;3090;2000;;;;;;;;
23.lip;UTO;Kiflice s kobasicom + sok od jabuke (100%);1030;Kiflice od kobasice + ribice;1110;2x sendvič (kobasica, pašteta) + ribice;1040;3180;2000;;;;;;;;
