Datum;Dan u tj.;Doručak;Doručak (kcal);Ručak;Ručak (kcal);Večera;Večera (kcal);Ukupno;Potrošio;Aktivnost;Aktivnost (kcal);Tjelesna masa (kg)
2020-02-04;UTO;Čaj + sendvič (pašteta) + sendvič (salama, sirić);750.0;Grah + 3 komada kruha + sendvič (pašt, sal);895.0;malo banane + sendvič (sirić, sal);480.0;2125;2000;;;
2020-02-05;SRI;Sendvič (salama, sirić) + čaj;490.0;Grah + pecivo;300.0;Grah + pecivo + čaj;340.0;1130;2000;;;
2020-02-06;ČET;Sendvič (salama, sirić) + čaj + sendvič (sirić);760.0;Špageti (1x porcija);755.0;Sendvič (sirić) ;260.0;1775;2000;;;
2020-02-07;PET;Sendvič (salama, prot. sir) + čaj + sendvič (ssk);860.0;1x smotuljak (sa sirom);210.0;2x Sendvič (salama, proteinski sir);760.0;1830;2000;;;
2020-02-08;SUB;2x Sendvič (čajna, sirić, ketchup);620.0;Kajgano + kruh + malo čajne;410.0;3x Mekike s piletinom i salatom;1035.0;2065;2000;;;
2020-02-09;NED;2x Sendvič (čajna, sirić, ketchup);680.0;Kuhana-pečena puretina + pire + juha;425.0;2x Sendvič (čajna, sirić, ketchup);680.0;1785;2000;;;
2020-02-10;PON;2x Sendvič (salama, poteinski sir, salata);770.0;Palačinke s mesom i grahom;765.0;Palačinke s mesom i grahom;510.0;2045;2000;;;
2020-02-11;UTO;Sendvič (salama, proteinski sir) + sendvič (pašteta);640.0;Kroketi + batat;555.0;2x Sendvič (pašteta);520.0;1715;2000;;;
2020-02-12;SRI;Sendvič (salama, proteinski sir) + sendvič (pašteta);640.0;Mahune + kobasica + kruh;435.0;2x Sendvič (pašteta);560.0;1635;2000;;;
2020-02-13;ČET;Sendvič (sal, prot sir) + sendvič (pašteta) + kuglice;845.0;B. meso + salata + vrhnje;470.0;Sendvič (pašteta) + kuglice;410.0;1725;2000;;;
2020-02-14;PET;Sendvič (pil, prot sir) + sendvič (pašteta) + kuglice;800.0;Juha (rajčica) + 6x lepinjica + ketchup;475.0;2x Sendvič (sirić);520.0;1795;2000;;;
2020-02-15;SUB;Sendvič (sirić, salama);450.0;B. meso + pire s mrkvom i graškom;550.0;Tortilla + 4.5 komada pizze (Domo);1110.0;2110;2000;;;
2020-02-16;NED;2x Sendvič (čajna, proteinski sir);500.0;Juha+ b. meso + riža;405.0;Kuglice + 2x Sendvič (čajna, prot sir);760.0;1665;2000;;;
2020-02-17;PON;2x Sendvič (čajna, sirić);640.0;B. meso u rajčica sosu + pecivo;600.0;2x Faširanca + ketchup + 5x kiflice;670.0;1910;2000;;;
2020-02-18;UTO;Sendvič (salama, sirić) + 2x kiflice;550.0;Sendvič na kruhu (salama, sirić) + 5x kiflice;715.0;2x Faširanca + vrhnje + kuglice;660.0;1925;2000;;;
2020-02-19;SRI;3x Sendvič (čajna, sirić);885.0;Jaja + salama;620.0;Sendvič (čajna, sirić) + 1/2 jabuka;345.0;1850;2000;;;
2020-02-20;ČET;2x Sendvič (čajna, vrhnje);570.0;Sendvič (b. meso, vrhnje, ketchup);740.0;Kuglice + 2x Sendvič (čajna, posni sir;440.0;1750;2000;;;
2020-02-21;PET;Sendvič (čajna, posni sir) + sendvič (salama, p. sir);580.0;Sendvič (salama, posni sir) + kuglice;600.0;2x Sendvič (sal, p. sir, kromp,ketch);1050.0;2230;2000;;;
2020-02-22;SUB;2x sendvič (salama, posni sir);760.0;Juha+ batkovi i riža;555.0;3.5x komada pizze;700.0;2015;2200;;;
2020-02-23;NED;2x sendvič (salama, posni sir);760.0;gulaš + 2x šnite kruha;455.0;3x palačinke s ketchupom + banana;670.0;1885;2000;;;
2020-02-24;PON;Sendvič (salama, p. sir) + 3x kruh (sal, p. sir ketch);1205.0;Mahune + meso + riža;275.0;1.5x Sendvič (pašteta);500.0;1980;2000;;;
2020-02-25;UTO;3x domaće pevico (salama, posni sir);1380.0;B. meso sa salatom;540.0;Sendvič (pašteta);330.0;2250;2000;;;
2020-02-26;SRI;Sendvič (posni sir) + topli sendvič (posni sir);760.0;B. meso sa krumpirom;460.0;Pohani kruh + vrhnje;660.0;1880;2000;;;
2020-02-27;ČET;Sendvič (salama, p. sir);380.0;Kajgano sa salamom + pecivo;720.0;2x Send (p. sir, sal, ketch) + Send (pašt);1095.0;2195;2000;;;
2020-02-28;PET;Sendvič (sal, p. sir) +2x sendvič (sal, p. sir, ketchup);1180.0;2x pakiranja hrenovki + pecivo + ketchup;600.0;Sendvič (pašteta);260.0;2040;2000;;;
2020-02-29;SUB;Sendvič (sal, p. sir) +2x sendvič (pašteta) + lepinjica;995.0;2x Ćufte + 2x kruha;510.0;2x Ćufte + 2x kruha + Sendvič (pašteta);770.0;2275;2000;;;
2020-03-01;NED;2x Sendvič (ćufta, p. sir);660.0;Zabatci + pire + juha;330.0;2x send (sal, p. sir, ketch) + kruh (pašt);1110.0;2100;2000;;;
2020-03-02;PON;3x šnite kruha (salama, p. sir);800.0;Zabatci + riža;415.0;2x domaći sendvič (salama, p. sir);900.0;2115;2000;;;
2020-03-03;UTO;2x domaći sendvič (salama, p. sir);900.0;2x domaći sendvič (salama, p. sir);900.0;Burek;700.0;2500;2000;;;
2020-03-04;SRI;2x sendvič (salama, p. sir, ketchup);810.0;/;0.0;Kajgano + salama + pecivo;760.0;1570;2000;;;
2020-03-05;ČET;2x sendvič (salama, p. sir, ketchup);810.0;Sendvič (salama, p. sir);660.0;Grah + 3 šnite kruha;750.0;2220;2000;;;
2020-03-06;PET;2x sendvič (salama, pašteta);810.0;/;0.0;3x topla sendviča;1350.0;2160;2000;;;
2020-03-07;SUB;3x topla sendviča;1350.0;Varivo + 2x šnicle od kruha;420.0;6x kiflice;690.0;2460;2000;;;
2020-03-08;NED;5x kiflice;575.0;3x tortille;1485.0;2x kiflice + sendvič (pašteta);490.0;2550;2000;;;
2020-03-09;PON;2x tortille + kuglice + sendvič (pašteta);1450.0;8x mini fašrianca + vrhnje + juha;515.0;2x sendvič (faš. p. sir, ketch, sir);800.0;2765;2000;;;
2020-03-10;UTO;2x sendvič (faš. p. sir, ketch, sir) + 2x send + kuglice;1400.0;Grašak + kajgano;510.0;2x sendvič (salama, p. sir);760.0;2670;2000;;;
2020-03-11;SRI;3x običan sendvič + kuglice;1400.0;Batkovi + riža;615.0;5x kiflica;625.0;2640;2000;;;
2020-03-12;ČET;3x sendvič (šunkarica, p. sir) + 2x kiflice + kuglice;1210.0;Kiflica + kajgano (salama + pecivo);895.0;3x kiflice + kuglice;585.0;2690;2000;;;
2020-03-13;PET;1x običan sendvič + 2x sendvič (pašteta) + kuhlice;1150.0;Domaći burek;700.0;2x Sendvič (pašteta);520.0;2370;2000;;;
2020-03-14;SUB;2x sendvič (salama, p. sir, maldi luk) + kuglice;1080.0;Puretina + sos + juha;775.0;2x send (sal, p. sir, m. luk) + 3x pizza;1380.0;3235;2000;;;
2020-03-15;NED;2x sendvic (salama, p. sir, maldi luk);780.0;B. meso + pire + juha + kuglice;975.0;2x sendvic (salama, p. sir, maldi luk);780.0;2535;2000;;;
2020-03-16;PON;3x sendvic (salama, p. sir, maldi luk) + kuglice;1370.0;Špageti (1x porcija);725.0;2x sendvic (salama, p. sir, maldi luk);780.0;2875;2000;;;
2020-03-17;UTO;2x sendvic (salama, p. sir, kecthup) + kuglice;1050.0;Kajgano + juha (s tjesteninom);900.0;2x sendvic (salama, p. sir, kecthup);800.0;2750;2000;;;
2020-03-18;SRI;2s toplit sendvič + 1x običan sendvič;1200.0;B. meso na kockice + vrhnje + 2x kruha;640.0;2x običan sendvič +sendvič (pašteta);1060.0;2900;2000;;;
2020-03-19;ČET;2x domaći sendvič (pašteta);500.0;2x kobasice + vrhnje + pecivo + lepinjica;950.0;2x domaći sendvič (pašteta);500.0;1950;2000;;;
2020-03-20;PET;2x domaći sendvič (pašteta) + banana;600.0;B. meso + grašak + 8x kroketa + juha;830.0;3x š. kruha (p. sir, sal, ketch) + banana;1100.0;2530;2000;;;
2020-03-21;SUB;2x domaći sendvič (p. sir, salama);800.0;Pizza;1350.0;2x domaći sendvič (p. sir, salama);780.0;2930;2000;;;
2020-03-22;NED;2x sendvič (prot. Sir, salama);800.0;Juha + hrenovke + krumpir;400.0;1x Sendvič + 3x topla sendviča;1590.0;2790;2000;;;
2020-03-23;PON;2x sendvič (prot. Sir, salama) + 1x sendvič;1220.0;Faširanci + vrhnje;500.0;1x Sendvič + 2x Sendvič (p. sir, salama);1220.0;2940;2000;;;
2020-03-24;UTO;2x sendvič (prot. Sir, salama);800.0;Paprikaš + domaći kviki gric;1410.0;2X Sendvič (prot. sir, salama);780.0;2990;2000;;;
2020-03-25;SRI;2x sendvič (prot. Sir, salama);800.0;1/2 Burek + jogurt;510.0;2x sendvič (prot. Sir, salama);1165.0;2475;2000;;;
2020-03-26;ČET;2x sendvič (prot. Sir, salama, ketchup);850.0;Kobasica + pire + pecivo + sendvič;895.0;3x sendvič (prot. Sir, salama, ketchup);1275.0;3020;2000;;;
2020-03-27;PET;2x sendvič (posni sir, salama, mladi luk);770.0;4x Pohana puretina + riža + 2x lepinjica;815.0;3x sendvič (posni sir, salama, mladi luk);1155.0;2740;2000;;;
2020-03-28;SUB;2x sendvič (posni sir, salama, mladi luk) + kuglice;990.0;2x Faširanci + vrhnje + 2x kruh;660.0;2x sendvič (posni sir, faširanac, mladi luk);820.0;2470;2000;;;
2020-03-29;NED;2x sendvič (p. sir, sal,luk) 1x šnita kruha (pašteta);1000.0;Juha + piletina + krumpir + kuglice;900.0;4x šnite kruha (posni sir, sal, m. luk);1300.0;3200;2000;;;
2020-03-30;PON;3x šnite kruha (posni sir, salama) + kuglice;1190.0;3x komada strombola;900.0;2x komada strombola;600.0;2690;2000;;;
2020-03-31;UTO;2x sendvič (salama, posni sir, ketchup);800.0;B. meso sa salatom;560.0;2x sendvič (salama, posni sir);760.0;2120;2000;;;
2020-04-01;SRI;3x sendvič (salama, posni sir, ketchup);1200.0;1.5x Špageti;990.0;0.5x Špageti + Sendvič (p.sir, sal, ketch);730.0;2920;2000;;;
2020-04-02;ČET;2x sendvič (šunka, p.sir, ketchup) + jogurt;770.0;3x Pohano b. meso + riža + juha + jogurt;860.0;2x sendvič (pileća prsa, p.sir, maldi luk);600.0;2230;2000;;;
2020-04-03;PET;3x sendvič (šunka, p.sir, maldi luk) + jogurt;1080.0;2x sendvič (faširanac, sir, ketch, sos);800.0;2x sendvič (salama, p.sir, maldi luk);990.0;2870;2000;;;
2020-04-04;SUB;2x sendvič (salama, p.sir, maldi luk) + kuglice;1020.0;2x tanjura graha + 2x peciva;800.0;2x sendvič (salama, p.sir, maldi luk) ;990.0;2810;2000;;;
2020-04-05;NED;2x sendvič (salama, p.sir, maldi luk) + kuglice;1020.0;2x tanjura graha + 2x peciva;800.0;2x sendvič (salama, p.sir, maldi luk) ;990.0;2810;2000;;;
2020-04-06;PON;2x sendvič (salama, p.sir, maldi luk) ;770.0;Juha + pureća prsa + pire;855.0;2x sendvič (salama, p.sir, maldi luk) ;770.0;2395;2000;;;
2020-04-07;UTO;2x sendvič (salama, p.sir, maldi luk) + sendvič;1175.0;hrenovke + vrhnje + kruh;820.0;2x šnite kruha (salama, p.sir, ketchup);820.0;2815;2000;;;
2020-04-08;SRI;1.5x šnita kruha (salama, p.sir, ketchup) + sendvič;1300.0;2.5x faširanci + varivo;640.0;2x sendvič (salama, p.sir, mladi luk);770.0;2710;2000;;;
2020-04-09;ČET;11x mini lisnato sa salamom;1100.0;1x komad bureka sa sirom + jogurt + jogurt;855.0;2x sendvič (salama, p.sir, mladi luk);770.0;2725;2000;;;
2020-04-10;PET;2x sendvič (salama, p.sir, mladi luk) + jogurt;970.0;grah + 2x šnite kruha + juha + jogurt;900.0;2x sendvič (salama, p.sir, m.luk) + grah;1160.0;3030;2000;;;
2020-04-11;SUB;Pohani kruh + salama + vrhnje + mladi luk + jogurt;1095.0;Palačinke s mesom i grahom + jogurt;990.0;Palač. s mesom i grahom + poh.kruh;1000.0;3085;2000;;;
2020-04-12;NED;šnita kruha (šunka, p.sir, maldi luk) + jogurt;570.0;Pileća prsa u rerni + pire + jogurt;900.0;3x šnite kruha (sal, p.sir, m.luk) + bana.;1225.0;2695;2000;;;
2020-04-13;PON;2x šnita kruha (salama, p.sir) + topli sendvič;1110.0;Piletina/svinjetina špageti;1090.0;3x komada strombola + banana;710.0;2910;2000;;;
2020-04-14;UTO;6x komada strombola;1200.0;Varivo + 2x šnite kruha + 2x komada stromb.;850.0;2x kifle (pašteta pikant);550.0;2600;2000;;;
2020-04-15;SRI;2x kifle (pašteta jetrena + pikant);505.0;B. meso u soja sosu + sir + pola kiflice;605.0;3x šnite kruha (pašteta);455.0;1565;2000;;;
2020-04-16;ČET;2x šnite kruha (pašteta, salama);700.0;Pileći burek + jogurt;870.0;2x pereca (pašteta);500.0;2070;2000;;;
2020-04-17;PET;2x sendvič (pašteta) + jogurt;670.0;2.5x kobasica + 2x peciva + vrhnje;960.0;jogurt + 4x kiflice;770.0;2400;2000;;;
2020-04-18;SUB;2x kifle (pašteta);560.0;1x tanjur krompir tijesta;600.0;3x kifle (pašteta) + jogurt;1010.0;2170;2000;;;
2020-04-19;NED;2x peciva (pašteta, maldi luk);740.0;to;1110.0;2x sendvič (pašteta, salama);660.0;2510;2000;;;
2020-04-20;PON;2x sendvič (šunkarica, pašteta);760.0;Pizza;1350.0;2x sendvič (pašteta);520.0;2630;2000;;;
2020-04-21;UTO;3x šnite kruha (salama, p.sir);780.0;2x sendvič (faširanac, vrhnje, slatko-ljuti);780.0;2x faširanca + vrhnje + 3x šnite kruha;660.0;2220;2000;;;
2020-04-22;SRI;2x trokut pizza + jogurt;650.0;kuglice + kajgano (salama) + pecivo;810.0;kuglice + sendvič (salama, p.sir) + jog.;1160.0;2620;2000;;;
2020-04-23;ČET;2x sendvič (salama, p.sir, m.luk);780.0;kuglice + puretina + vrhnje + pecivo + jogurt;1045.0;2x sendvič (salama, p.sir, m.luk);780.0;2605;2000;;;
2020-04-24;PET;2x sendvič (salama, p.sir, m.luk) + jogurt;950.0;3x lisnato sa salamom;750.0;2x sendvič (salama, p.sir, m.luk);780.0;2480;2000;;;
2020-04-25;SUB;2x sendvič (salama, p.sir, m.luk);780.0;2x šnicle od kruha + ketchup + 2x kuglice;1015.0;3x šnite kruha (salama, p.sir, m.luk);950.0;2745;2000;;;
2020-04-26;NED;2.5x topli sendvič;900.0;batak + riža + juha;520.0;3x šnite kruha (salama, p.sir, m.luk);750.0;2170;2000;;;
2020-04-27;PON;2x domaća peciva (pašteta) + 3x kolutića;680.0;2x porcija Špageta;960.0;1x kolutić + 2x sendvića + 0.5x špageti;910.0;2550;2000;;;
2020-04-28;UTO;2x sendvič (pašteta);500.0;2x tanjura graha + 3x šnite kruha;800.0;2x sendvič (pašteta) + 2x nešto od kora;600.0;1900;2000;;;
2020-04-29;SRI;9x zamotuljak s grahom;945.0;B. meso na kockice + pire;750.0;2 sendviča (pašteta);650.0;2345;2000;;;
2020-04-30;ČET;6x domaćih štapiča;750.0;Kajgano sa salamom + pecivo + juha;890.0;1x kobasica + 2x šnite kruha + vrhnje;730.0;2370;2000;;;
2020-05-01;PET;2x sendvič (salama, p.sir);760.0;10x čevapa + 1x ražnijć + lepinja;1450.0;6x čevapa + lepinja + vrhnje;665.0;2875;2000;;;
2020-05-02;SUB;lepinja topli sendvič (salama. margo);800.0;Puretina + piletina + kruh s m.luk + juha;655.0;2x topli sendvič (sir) + 2x min jabuka;615.0;2070;2000;;;
2020-05-03;NED;2x topli sendvič (sir) + 2.5 slonovo uho;650.0;2,5x pohano b. meso + riža +pohani sir + juha;790.0;5x s. uho (sir) + 4x s. uho (sir);1055.0;2495;2000;;;
2020-05-04;PON;2x sendvič (malo salame, malo marga, sir);690.0;B. meso + 6x kuglica od riže + mini jabuka;880.0;3x sendvič (margo, salama);1080.0;2650;2000;;;
2020-05-05;UTO;5x pužića od ajvara + 5x pužića od ajvara;1200.0;Kajgano sa salamom + pecivo;760.0;2x topli sendvič (salama, margo);690.0;2650;2000;;;
2020-05-06;SRI;3x kifle (salama);900.0;1,75x porcija Paštašute;875.0;3x kifle (pašteta) + jogurt;750.0;2525;2000;;;
2020-05-07;ČET;3x kifle (pašteta) + jogurt + 2x manja kifla;935.0;Burek (sir) + jogurt;775.0;1x m. kifla + 3x m. kifla (pašteta);650.0;2360;2000;;;
2020-05-08;PET;3x peciva (pašteta);700.0;Batkovi + krumpir + 1x pecivo + jogurt;770.0;2x velik sendvič (salama, margo, sir);1400.0;2870;2000;;;
2020-05-09;SUB;2x sendvič (salama, margo, sir) + kuglice;910.0;Pizza;1350.0;1x sendvič (salama, margo, sir);400.0;2660;2000;;;
2020-05-10;NED;3x kifle (pašteta, mladi luk) + 2x kifla;905.0;1.5 pureća štruca + 1.75x kifla;910.0;2x kifle (salama, margo, sir + kuglice;910.0;2725;2000;;;
2020-05-11;PON;2x sendvič (salama, margo, sir) + kuglice ;910.0;1.5x krompir tijesta;900.0;2x sendvič (salama, margo, sir) + kuglice ;970.0;2780;2000;;;
2020-05-12;UTO;2x sendvič (čajna, margo, sir);670.0;3x tortille;1485.0;1x tortilla;525.0;2680;2000;;;
2020-05-13;SRI;3x kifle (pašteta + 2x kifle;895.0;kuglice + kobasica + grašak + 1.5x kifla;900.0;2x sendvič (čajna, sirić, ketchup) + 2x kifla;1000.0;2795;2000;;;
2020-05-14;ČET;2x sendvič (čajna, sirić, ketchup) + kuglice;800.0;Batkovi + riža;460.0;10x čevapa + 2x peciva;1205.0;2465;2000;;;
2020-05-15;PET;2x topli sendvič (salama, margo) + 1x send. (pašt.);1000.0;10x čevapa + pire;980.0;2x sendvič (pašteta);530.0;2510;2000;;;
2020-05-16;SUB;3x sendvič (pašteta);795.0;Hamburger + 1/2x pomfit;1065.0;1x pohano pecivo (vrhnje) + sendvič (pašt);765.0;2625;2000;;;
2020-05-17;NED;3x kifle (pašteta) 1,5x kifla;985.0;Batkovi + ketchup + 2x šnite kruha;530.0;3x kifle (pašteta) + 1x kifla (pašteta);930.0;2445;2000;;;
2020-05-18;PON;2x topli sendvič (salama, margo);700.0;Batkovi + ketchup + 1x šnite kruha;530.0;1.5 kruh? (pašteta) + 2x kruha (sal, margo);1170.0;2400;2000;;;
2020-05-19;UTO;3x sendvič (salama, margo, sir);1230.0;1.5x burek;1125.0;2x sendvič (salama, margo);700.0;3055;2000;;;
2020-05-20;SRI;2x sendvič (salama, margo) + 2x topli sendvič;1200.0;0,5x kobasica + 4x šnite tosta + juha;495.0;3x topla sendviča (margo, salama);750.0;2445;2000;;;
2020-05-21;ČET;3x topla sendviča (margo, salama);750.0;Batkovi na kockice + mahune + 2x šnite kruha;765.0;2x sendvič (margo, salama);700.0;2215;2000;;;
2020-05-22;PET;1x š. kruha+ 2x sendvič + 4x š. kruha;1515.0;malo čipsa + 2x kobasice + pire;950.0;2x sendvič (pašteta);535.0;3000;2000;;;
2020-05-23;SUB;2x tost (pašteta) + 3x topli sendvič + 1x sendvič;1330.0;5x komada b. meso + riža;690.0;1x sendvič (pašteta) + 2x sendvič (sal, sirić);870.0;2890;2000;;;
2020-05-24;NED;2x sendvič (salama, sirić) + 2x š. mozzarela kruha;1300.0;B. meso + zelena tjestenina;810.0;2x sendvič (salama, sirić);620.0;2730;2000;;;
2020-05-25;PON;2x topli sendvič (salama, margo);640.0;0,5x burek (sir) + pola čaše jogurta;440.0;5x sendvič (salama, sirić) + jogurt;1615.0;2695;2000;;;
2020-05-26;UTO;3x sendvič (salama, sirić) + jogurt;1135.0;2x tanjura graha + 4x šnite kruha;800.0;2x sendvič (salama, sirić) + jogurt;670.0;2605;2000;;;
2020-05-27;SRI;3x topli sendvič +2x sendvič;1270.0;4x tortille;1800.0;/;0.0;3070;2000;;;
2020-05-28;ČET;2x sendvič (salama, sirič) + 1x sendvič + 1x pecivo;1480.0;2x komada pileća prsa + 4x šnite kruha;1110.0;/;0.0;2590;2000;;;
2020-05-29;PET;2,5x peciva (pašteta);785.0;Salata s b. mesom + 3x š. kruha (pašteta);960.0;2x sendvič (pašt) + 1x sendvič (salama, sirić);835.0;2580;2000;;;
2020-05-30;SUB;2x kifle (salama, sirić) + 2x kifla;1050.0;2x kuglice + par krumpirića + sos;230.0;2x sendviča + 3x ražnjića + 2x čevap +2x kruh;1655.0;2935;2000;;;
2020-05-31;NED;3x šnite kruha (salama, sirić);585.0;1x tanjur gulaša;615.0;5x š. kruha (salama, margo) + malo smokija;1670.0;2870;2000;;;
2020-06-01;PON;1x š. kruha (salama, margo) + 4x š. kruha;1450.0;1x tanjur gulaša;615.0;3x šnite kruha (pašteta);535.0;2600;2000;;;
2020-06-02;UTO;1x šnita kruha (pašteta) + 2x topli sendvič ;1000.0;3x komada pileća prsa + 9x kroketa;1200.0;2x sendvič (pašteta);580.0;2780;2000;;;
2020-06-03;SRI;1x sendvič (pašteta) + 2x topli sendvič+ 1x sendvič;1335.0;4x komada bureka;800.0;2x sendvič (salama, margo) + 1x komad bureka;760.0;2895;2000;;;
2020-06-04;ČET;3x topla sendviča;1125.0;Pola kobasice + malo mahuna + 2x šnite kruha;380.0;2x sendvič + 4x šnite kruha + party mix (60g);1765.0;3270;2000;;;
2020-06-05;PET;2x topla sendviča +2x sendvič;1500.0;3x pohane palačinke;1425.0;2x pohane palačinke;750.0;3675;2000;;;
2020-06-06;SUB;2x sendvič (pašteta) + 2x sendviča;1525.0;2x hamburgera + pomfrit;1810.0;2x sendvič (pileća prsa, margo, m. luk);720.0;4055;2000;;;
2020-06-07;NED;2x sendvič (pileća prse, margo, sir, m. luk);550.0;2.5x komada pilećih prsa + pomfrit;1125.0;2x sendvič + 2x sendvič;1160.0;2835;2000;;;
2020-06-08;PON;2x sendvič (sal, sirić, m. luk, ketch) 2x topli sendvič;1220.0;1.5x tanjur krompir-tijesta;840.0;3x sendvič (čajna, sirić, ketchup);930.0;2990;2000;;;
2020-06-09;UTO;3x sendvič (čajna, sirić, ketchup);950.0;1.5x tanjur krompir-tijesta + kuglice;1090.0;2x sendvič (čajna, sirić, ketchup);640.0;2680;2000;;;
2020-06-10;SRI;3x sendvič (čajna, sirić, ketchup) + kuglice;1200.0;Pizza;1350.0;2x sendvič (čajna, sirić, ketchup);640.0;3190;2000;;;
2020-06-11;ČET;2x sendvič (čajna, sirić, ketchup + kuglice + jogurt;1190.0;3x ćufte + 3x šnite kruha;765.0;pomfrit + 2x sendvič (čajna, sirić, ketchup);1055.0;3010;2000;;;
2020-06-12;PET;2x topli sendvič (salama, margo) + jogurt;890.0;3x ćufte + 3x šnite kruha + pire;920.0;2x sendvič (čajna, sirić, ketchup);620.0;2430;2000;;;
2020-06-13;SUB;2x sendvič (salama, sirić, ketchup);620.0;B. meso + pomfrit;1115.0;kuglice + 2x sendvič + 1x sendvič;1055.0;2790;2000;;;
2020-06-14;NED;2x sendvič (pašteta);505.0;Gulaš s tjesteninom+ party mix (70g);880.0;2x sendvič + pomfirt + ketchup;1450.0;2835;2000;;;
2020-06-15;PON;komad peciva (pašteta) + 2x topli sendvič;840.0;sendvič + gulaš + sendvič iz pećnice;1420.0;sendvič iz pećnice + 2x sendvič;1170.0;3430;2000;;;
2020-06-16;UTO;komad peciva + 2x sendvič + sok od jabuke (100%);960.0;kobasica + 1.5x porcija graha + 1.5x pecivo;925.0;3x sendvič (salama, sirić, ketchup);930.0;2815;2000;;;
2020-06-17;SRI;2x sendvič (salama, sirić, ketchup) +2x topla send.;1330.0;Burek (sir);700.0;2x sendvič (salama, sirić, ketchup) +1x send.;1070.0;3100;2000;;;
2020-06-18;ČET;2x topli sendvič + 2x tost (salama, sirić, ketchup);1240.0;Juha + b. meso + riža;865.0;2x sendvič + 1x sendvič + ribice (70g);1270.0;3375;2000;;;
2020-06-19;PET;2x topli sendvič (salama, margo, sir);710.0;1,5x tanjura špageta + sok od jabuke (100%);1220.0;2x tanjura šageta + sok od jabuke (100%);1550.0;3480;2000;;;
